model,layer,transform,group,cos
glove,,raw,intra,0.8188548684120178
glove,,raw,intra,0.7438787817955017
glove,,raw,intra,0.7467094659805298
glove,,raw,intra,0.6921285390853882
glove,,raw,intra,0.6827201247215271
glove,,raw,intra,0.6463184356689453
glove,,raw,intra,0.7459446787834167
glove,,raw,intra,0.7015166282653809
glove,,raw,intra,0.6236628293991089
glove,,raw,intra,0.5460456013679504
glove,,raw,intra,0.7511264681816101
glove,,raw,inter,0.31096604466438293
glove,,raw,inter,0.18552479147911072
glove,,raw,inter,0.2943595349788666
glove,,raw,inter,0.2645336091518402
glove,,raw,inter,0.3807874321937561
glove,,raw,inter,0.2679295837879181
glove,,raw,inter,0.14423470199108124
glove,,raw,inter,0.5783649682998657
glove,,raw,inter,0.27614128589630127
glove,,raw,inter,0.2444285899400711
glove,,raw,inter,0.06219663470983505
glove,,raw,inter,0.24426808953285217
glove,,raw,inter,0.2186286300420761
glove,,raw,inter,0.10504994541406631
glove,,raw,inter,0.29805827140808105
glove,,raw,inter,0.3471725285053253
glove,,raw,inter,0.5273001194000244
glove,,raw,inter,0.1781061589717865
glove,,raw,inter,0.49419668316841125
glove,,raw,inter,0.002461471362039447
glove,,raw,inter,0.3945200741291046
glove,,raw,inter,0.20528922975063324
glove,,raw,inter,0.11392983049154282
glove,,raw,inter,0.38732945919036865
glove,,raw,inter,0.18444326519966125
glove,,raw,inter,0.4117625057697296
glove,,raw,inter,0.17502883076667786
glove,,raw,inter,0.44931939244270325
glove,,raw,inter,0.34864750504493713
glove,,raw,inter,0.4699786305427551
glove,,raw,inter,0.30316081643104553
glove,,raw,inter,0.2754625082015991
glove,,raw,inter,0.43719929456710815
glove,,raw,inter,0.22588121891021729
glove,,raw,inter,0.3065444827079773
glove,,raw,inter,0.4433979094028473
glove,,raw,inter,0.497693806886673
glove,,raw,inter,0.3914933502674103
glove,,raw,inter,0.27090564370155334
glove,,raw,inter,0.3370383083820343
glove,,raw,inter,0.3075943887233734
glove,,raw,inter,0.35313305258750916
glove,,raw,inter,0.38159823417663574
glove,,raw,inter,0.3034049868583679
glove,,raw,inter,0.36582955718040466
glove,,raw,inter,0.2785983085632324
glove,,raw,inter,0.588343620300293
glove,,raw,inter,0.577893078327179
glove,,raw,inter,0.3054371774196625
glove,,raw,inter,0.18970510363578796
glove,,raw,inter,0.24713851511478424
glove,,raw,inter,0.2678411602973938
glove,,raw,inter,0.41864803433418274
glove,,raw,inter,0.3200589120388031
glove,,raw,inter,0.6280553936958313
glove,,raw,inter,0.1252581924200058
glove,,raw,inter,0.5263949632644653
glove,,raw,inter,0.14388738572597504
glove,,raw,inter,0.06730499118566513
glove,,raw,inter,0.2127661556005478
glove,,raw,inter,0.2188364714384079
glove,,raw,inter,-0.06255803257226944
glove,,raw,inter,0.6729477047920227
glove,,raw,inter,0.2622242867946625
glove,,raw,inter,0.24227574467658997
glove,,raw,inter,0.2653264105319977
glove,,raw,inter,0.4766899645328522
glove,,raw,inter,0.539861261844635
glove,,raw,inter,0.2696687579154968
glove,,raw,inter,0.6310272812843323
glove,,raw,inter,0.17091673612594604
glove,,raw,inter,0.017535747960209846
glove,,raw,inter,0.1719738245010376
glove,,raw,inter,0.2115972638130188
glove,,raw,inter,0.260390043258667
glove,,raw,inter,0.5930504202842712
glove,,raw,inter,0.3479553461074829
glove,,raw,inter,0.163903146982193
glove,,raw,inter,0.3795772194862366
glove,,raw,inter,0.34999164938926697
glove,,raw,inter,0.548485517501831
glove,,raw,inter,0.16295237839221954
glove,,raw,inter,0.48817357420921326
glove,,raw,inter,0.3015880882740021
glove,,raw,inter,0.34892404079437256
glove,,raw,inter,0.4518905580043793
glove,,raw,inter,0.4893016517162323
glove,,raw,inter,0.5595313310623169
glove,,raw,inter,0.5172842741012573
glove,,raw,inter,0.35817280411720276
glove,,raw,inter,0.5349539518356323
glove,,raw,inter,-0.005966186057776213
glove,,raw,inter,0.48794862627983093
glove,,raw,inter,0.3360622823238373
glove,,raw,inter,0.3128725290298462
glove,,raw,inter,0.34684112668037415
glove,,raw,inter,0.23818427324295044
glove,,raw,inter,0.6457503437995911
glove,,raw,inter,0.08010595291852951
glove,,raw,inter,0.5768639445304871
glove,,raw,inter,0.3304801881313324
glove,,raw,inter,0.3505287766456604
glove,,raw,inter,0.4805412292480469
glove,,raw,inter,0.27058863639831543
glove,,raw,inter,0.42584994435310364
glove,,raw,inter,0.432336688041687
glove,,raw,inter,0.45461660623550415
glove,,raw,inter,0.3946114778518677
glove,,raw,inter,0.35112351179122925
glove,,raw,inter,0.4521726965904236
glove,,raw,inter,0.15275788307189941
glove,,raw,inter,0.17856399714946747
glove,,raw,inter,0.3840339183807373
glove,,raw,inter,0.41682860255241394
glove,,raw,inter,0.25373852252960205
glove,,raw,inter,0.46388739347457886
glove,,raw,inter,0.3261719346046448
glove,,raw,inter,0.4291997253894806
glove,,raw,inter,0.33047136664390564
glove,,raw,inter,0.5254983901977539
glove,,raw,inter,0.35438722372055054
glove,,raw,inter,0.40196752548217773
