model,layer,transform_type,delta_cos
glove,,verb_regular,0.23278911411762238
glove,,verb_regular,0.09829690307378769
glove,,verb_regular,0.48415589332580566
glove,,verb_regular,0.1434473693370819
glove,,verb_regular,0.530617356300354
glove,,verb_regular,0.12173712998628616
glove,,verb_regular,0.01789293996989727
glove,,verb_regular,0.13984818756580353
glove,,verb_regular,0.3145289123058319
glove,,verb_regular,0.44670820236206055
glove,,verb_regular,0.3455903232097626
glove,,verb_regular,0.38945046067237854
bert,1.0,verb_regular,0.3500397205352783
bert,1.0,verb_regular,0.479883074760437
bert,1.0,verb_regular,0.421650767326355
bert,1.0,verb_regular,0.1580335646867752
bert,1.0,verb_regular,0.18582570552825928
bert,1.0,verb_regular,0.2428339421749115
bert,1.0,verb_regular,0.07711934298276901
bert,1.0,verb_regular,0.1473265290260315
bert,1.0,verb_regular,0.27378973364830017
bert,1.0,verb_regular,0.01959417201578617
bert,1.0,verb_regular,0.08359361439943314
bert,1.0,verb_regular,0.423509806394577
bert,1.0,verb_regular,0.11448241770267487
bert,1.0,verb_regular,0.14061179757118225
bert,1.0,verb_regular,0.3430710732936859
bert,1.0,verb_regular,0.12936097383499146
bert,1.0,verb_regular,0.12668806314468384
bert,1.0,verb_regular,0.4725283682346344
bert,1.0,verb_regular,0.1282912790775299
bert,1.0,verb_regular,0.2850452661514282
bert,1.0,verb_regular,0.07089070230722427
bert,1.0,verb_regular,0.09184713661670685
bert,1.0,verb_regular,0.4071962833404541
bert,1.0,verb_regular,0.16163887083530426
bert,1.0,verb_regular,0.054912976920604706
bert,1.0,verb_regular,0.07034529745578766
bert,1.0,verb_regular,0.026697669178247452
bert,1.0,verb_regular,0.1772163212299347
bert,1.0,verb_regular,0.283807635307312
bert,1.0,verb_regular,0.2032100111246109
bert,1.0,verb_regular,0.058019548654556274
bert,1.0,verb_regular,0.27352434396743774
bert,1.0,verb_regular,0.08232782781124115
bert,1.0,verb_regular,0.2013111412525177
bert,1.0,verb_regular,0.17565672099590302
bert,1.0,verb_regular,0.38196295499801636
bert,1.0,verb_regular,0.04332374036312103
bert,1.0,verb_regular,0.12870444357395172
bert,1.0,verb_regular,0.38586530089378357
bert,1.0,verb_regular,0.1250331550836563
bert,1.0,verb_regular,0.03363621234893799
bert,1.0,verb_regular,0.29282063245773315
bert,1.0,verb_regular,0.15949083864688873
bert,1.0,verb_regular,0.13342483341693878
bert,1.0,verb_regular,0.31817251443862915
bert,1.0,verb_regular,0.07983419299125671
bert,1.0,verb_regular,0.10326221585273743
bert,1.0,verb_regular,0.21418744325637817
bert,1.0,verb_regular,0.37819865345954895
bert,1.0,verb_regular,0.45260345935821533
bert,1.0,verb_regular,0.29347091913223267
bert,1.0,verb_regular,0.1183263286948204
bert,1.0,verb_regular,0.1700003743171692
bert,1.0,verb_regular,0.33072248101234436
bert,1.0,verb_regular,0.08860478550195694
bert,1.0,verb_regular,0.16443945467472076
bert,1.0,verb_regular,0.40112727880477905
bert,1.0,verb_regular,0.09505827724933624
bert,1.0,verb_regular,0.14137330651283264
bert,1.0,verb_regular,0.4215967059135437
bert,1.0,verb_regular,0.16650494933128357
bert,1.0,verb_regular,0.21007303893566132
bert,1.0,verb_regular,0.6381341218948364
bert,1.0,verb_regular,0.11831063032150269
bert,1.0,verb_regular,0.3141564726829529
bert,1.0,verb_regular,0.19098129868507385
bert,1.0,verb_regular,0.006461682729423046
bert,1.0,verb_regular,0.08584926277399063
bert,1.0,verb_regular,0.05181151628494263
bert,1.0,verb_regular,0.10153475403785706
bert,1.0,verb_regular,0.29599377512931824
bert,1.0,verb_regular,0.15189345180988312
bert,1.0,verb_regular,0.08457621186971664
bert,1.0,verb_regular,0.3263557553291321
bert,1.0,verb_regular,0.13387233018875122
bert,1.0,verb_regular,0.11060705780982971
bert,1.0,verb_regular,0.11647135019302368
bert,1.0,verb_regular,0.3457565903663635
bert,1.0,verb_regular,0.08390992879867554
bert,1.0,verb_regular,0.049064621329307556
bert,1.0,verb_regular,0.275037556886673
bert,1.0,verb_regular,0.12791645526885986
bert,1.0,verb_regular,0.10166629403829575
bert,1.0,verb_regular,0.24320565164089203
bert,1.0,verb_regular,0.12889380753040314
bert,1.0,verb_regular,0.09740182757377625
bert,1.0,verb_regular,0.3623446524143219
bert,1.0,verb_regular,0.38038891553878784
bert,1.0,verb_regular,0.40511220693588257
bert,1.0,verb_regular,0.2192801535129547
bert,1.0,verb_regular,0.050919730216264725
bert,1.0,verb_regular,0.04859721660614014
bert,1.0,verb_regular,0.2912258505821228
bert,1.0,verb_regular,0.09905098378658295
bert,1.0,verb_regular,0.06576834619045258
bert,1.0,verb_regular,0.26577186584472656
bert,1.0,verb_regular,0.1126878410577774
bert,1.0,verb_regular,0.12077446281909943
bert,1.0,verb_regular,0.47146594524383545
bert,1.0,verb_regular,0.04987994581460953
bert,1.0,verb_regular,0.09205004572868347
bert,1.0,verb_regular,0.02318277582526207
bert,1.0,verb_regular,0.03412172198295593
bert,1.0,verb_regular,0.23727743327617645
bert,1.0,verb_regular,0.08251091837882996
bert,1.0,verb_regular,0.07727828621864319
bert,1.0,verb_regular,0.2627864480018616
bert,1.0,verb_regular,0.0790717601776123
bert,1.0,verb_regular,0.12879182398319244
bert,1.0,verb_regular,0.048400942236185074
bert,1.0,verb_regular,0.2030191421508789
bert,1.0,verb_regular,0.13025841116905212
bert,1.0,verb_regular,0.16389696300029755
bert,1.0,verb_regular,0.2541952133178711
bert,1.0,verb_regular,0.06960140913724899
bert,1.0,verb_regular,0.09771465510129929
bert,1.0,verb_regular,0.18284407258033752
bert,1.0,verb_regular,0.5505115985870361
bert,1.0,verb_regular,0.6083077788352966
bert,1.0,verb_regular,0.2426878660917282
bert,1.0,verb_regular,0.06046273186802864
bert,1.0,verb_regular,0.02366594783961773
bert,1.0,verb_regular,0.32923001050949097
bert,1.0,verb_regular,0.05838949605822563
bert,1.0,verb_regular,0.04194637015461922
bert,1.0,verb_regular,0.6593232154846191
bert,1.0,verb_regular,0.008491731248795986
bert,1.0,verb_regular,0.10067678242921829
bert,1.0,verb_regular,-0.008883638307452202
bert,1.0,verb_regular,0.047166939824819565
bert,1.0,verb_regular,0.20396408438682556
bert,1.0,verb_regular,0.05020717531442642
bert,1.0,verb_regular,0.0651526227593422
bert,1.0,verb_regular,0.04015664756298065
bert,1.0,verb_regular,0.14409026503562927
bert,1.0,verb_regular,0.04041578620672226
bert,1.0,verb_regular,0.06538675725460052
bert,1.0,verb_regular,0.2129838764667511
bert,1.0,verb_regular,0.39903244376182556
bert,1.0,verb_regular,0.3901618719100952
bert,1.0,verb_regular,0.3350059986114502
