model,layer,pair_type,cos
glove,,ant,0.38853374123573303
glove,,ant,0.5772038698196411
glove,,ant,0.5385496020317078
glove,,ant,0.8656662106513977
glove,,ant,0.8202099204063416
glove,,ant,0.6715538501739502
glove,,ant,0.38505247235298157
glove,,ant,0.6158918142318726
glove,,ant,0.527264416217804
glove,,ant,0.5794338583946228
glove,,ant,0.4334358870983124
glove,,ant,0.6861258149147034
glove,,ant,0.5184125900268555
glove,,ant,0.49216607213020325
glove,,ant,0.7810122966766357
glove,,ant,0.8208503723144531
glove,,ant,0.3774074912071228
glove,,ant,0.5823466181755066
glove,,ant,0.7410134077072144
glove,,ant,0.7852856516838074
glove,,ant,0.6467148661613464
glove,,ant,0.7504958510398865
glove,,ant,0.45413634181022644
glove,,ant,0.6248958706855774
glove,,ant,0.8206427097320557
glove,,ant,0.4854673147201538
glove,,rand,0.13885383307933807
glove,,rand,0.360228031873703
glove,,rand,0.21841835975646973
glove,,rand,0.23085957765579224
glove,,rand,0.1803337186574936
glove,,rand,0.5665602087974548
glove,,rand,0.1853434443473816
glove,,rand,0.10254623740911484
glove,,rand,0.1378622055053711
glove,,rand,0.2915266752243042
glove,,rand,0.43020787835121155
glove,,rand,0.16049785912036896
glove,,rand,0.169321671128273
glove,,rand,0.2825910151004791
glove,,rand,0.20499013364315033
glove,,rand,0.17142142355442047
glove,,rand,0.02515292726457119
glove,,rand,-0.07870855182409286
glove,,rand,0.14218010008335114
glove,,rand,0.08909197896718979
glove,,rand,0.2134152352809906
glove,,rand,-0.011800523847341537
glove,,rand,0.5547396540641785
glove,,rand,0.22478137910366058
glove,,rand,0.06691518425941467
glove,,rand,0.4076313376426697
glove,,rand,0.7340055704116821
glove,,rand,0.1637333780527115
glove,,rand,0.3305667042732239
glove,,rand,0.34073343873023987
glove,,rand,-0.12342940270900726
glove,,rand,0.6514829397201538
glove,,rand,0.07098433375358582
glove,,rand,0.23710665106773376
glove,,rand,-0.007895761169493198
glove,,rand,0.08412592113018036
glove,,rand,0.5032000541687012
glove,,rand,0.021917179226875305
glove,,rand,0.39649951457977295
glove,,rand,0.19988137483596802
glove,,rand,0.3627658784389496
glove,,rand,0.40516361594200134
glove,,rand,0.2940594553947449
glove,,rand,0.04415668174624443
glove,,rand,0.05610279738903046
glove,,rand,0.0797274187207222
glove,,rand,0.16394402086734772
glove,,rand,0.12180765718221664
glove,,rand,0.09223932027816772
glove,,rand,0.052431099116802216
glove,,rand,0.3560788035392761
glove,,rand,0.07900997251272202
glove,,rand,0.14180439710617065
glove,,rand,0.25136256217956543
glove,,rand,0.3601906895637512
glove,,rand,0.15824618935585022
glove,,rand,0.15956445038318634
glove,,rand,0.042103469371795654
glove,,rand,0.1623714417219162
glove,,rand,0.152112677693367
glove,,rand,-0.019976330921053886
glove,,rand,0.37458017468452454
glove,,rand,0.16460955142974854
glove,,rand,0.18989139795303345
glove,,rand,0.3126191794872284
glove,,rand,0.017120996490120888
glove,,rand,0.42894598841667175
glove,,rand,0.03277422487735748
glove,,rand,0.09810759127140045
glove,,rand,0.38732174038887024
glove,,rand,0.604612410068512
glove,,rand,-0.003446592716500163
glove,,rand,0.19902731478214264
glove,,rand,0.14437150955200195
glove,,rand,0.03967238590121269
glove,,rand,-0.022165386006236076
glove,,rand,0.04148054122924805
glove,,rand,0.2537320852279663
glove,,rand,-0.02545742504298687
glove,,rand,0.296756386756897
glove,,rand,0.1852966845035553
glove,,rand,0.13564111292362213
glove,,rand,0.2739068269729614
glove,,rand,-0.020629577338695526
glove,,rand,0.00924789346754551
glove,,rand,0.042050670832395554
glove,,rand,0.36459654569625854
glove,,rand,0.0628756657242775
glove,,rand,0.19917376339435577
glove,,rand,-0.018032101914286613
glove,,rand,0.4051521122455597
glove,,rand,0.1905568689107895
glove,,rand,0.33759528398513794
glove,,rand,0.16648457944393158
glove,,rand,0.2536601424217224
glove,,rand,0.09448262304067612
glove,,rand,0.08323238044977188
glove,,rand,0.0014625823823735118
glove,,rand,0.035129837691783905
glove,,rand,0.21588581800460815
glove,,rand,0.07421286404132843
glove,,rand,0.1755084991455078
glove,,rand,0.12914206087589264
glove,,rand,0.5125272274017334
glove,,rand,0.1412920504808426
glove,,rand,0.34587976336479187
glove,,rand,0.18631300330162048
glove,,rand,0.06537745893001556
